,Date,Venue,JRAD or Event SBD/MTX,Audience Taper,Audience Audio,RAD Track (RTn) or Event Video,Audience Video (Substantial),VIP Soundcheck ,Personnel changes,Number of Items,Number of Breakouts,Show Number
65,2016-02-12 00:00:00,"Lupo's Heartbreak Hotel, Providence, RI",https://archive.org/details/jrad2016-02-12.cmc621.mk41v.sbd.matrix.flac16,Mike Camp,https://archive.org/details/JRAD2016-02-12._BSC1h,"RT-67, RT 75",,,Jon Shaw replaces DD,16,0,65
66,2016-02-13 00:00:00,"State Theater, Portland, ME",https://archive.org/details/jrad2016-02-13.cmc621.mk41v.sbd.matrix.flac16,Andy Murray,https://archive.org/details/jrad2016-02-13.schoeps.mk41v.sxr4.flac16,,,,Jon Shaw replaces DD,18,0,66
67,2016-02-14 00:00:00,"Higher Ground, Burlington, VT",https://archive.org/details/jrad2016-02-14.cmc621.sbd.matrix.flac16,Chris P,https://archive.org/details/jrad2016-02-14.at822.flac16,"RT -69,72",,,Jon Shaw replaces DD,15,0,67
68,2016-03-24 00:00:00,"Brooklyn Bowl, Brooklyn, NY",,,,RT 61-64,,,,16,0,68
69,2016-03-25 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2016-03-25.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT 62-65(1)-66-70,,,"Horn section  - Stuart Bogie (Sax, Flute, Clarinet), Martin Perna (Sax, Flute), Raymond Mason (Trombone), Eric Biondo (Trumpet) ",15,0,69
70,2016-03-26 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2016-03-26.cmc621.cmc641vxt.sbd.matrix.flac16,,,"RT 63-65(2), 77",,,Katie Jacoby (Violin),17,0,70
71,2016-04-29 00:00:00,"Joy Theater, New Orleans, LA",,Bonobeats (Team Iko Iko) ,https://archive.org/details/JRAD2016-04-29.JoyTheaterNOLA-MBHO440,,,,Jeff Chimenti replaces MB; plus Katie Jacoby (Violin),15,0,71
72,2016-04-30 00:00:00,"Joy Theater, New Orleans, LA",,Bonobeats (Team Iko Iko) ,https://archive.org/details/JRAD2016-04-30.JoyTheaterNOLA-MBHO440,,,,Jeff Chimenti replaces MB,15,0,72
73,2016-06-30 00:00:00,"High Sierra Music Festival, Quincy, CA",,,,,,,,14,0,73
74,2016-07-01 00:00:00,"The Depot, Salt Lake City, UT",,,,,,,,18,0,74
75,2016-07-02 00:00:00,"Belly Up, Aspen, CO",https://archive.org/details/jrad2016-07-02.cmc621.sbd.matrix.flac16,,,RT 68,,,,23,0,75
76,2016-07-03 00:00:00,"Red Rocks, Morrison, CO",,,,,,,,8,0,76
77,2016-08-11 00:00:00,"Peach Music Festival, Scranton, PA",,,,,,,,8,0,77
78,2016-08-20 00:00:00,"Hot August Music Festival, Cockeysville, MD",,,https://soundcloud.com/will-urquhart/jrad-at-hot-august-music-festival-8-20-2016?in=will-urquhart%2Fsets%2Fhot-august-music-festival,,,,,11,0,78
79,2016-08-25 00:00:00,"Lock'n, Arrington, VA",https://archive.org/details/jrad2016-08-25.cmc621.sbd.matrix.flac16,,,RT71 RT 101,https://www.youtube.com/watch?v=Zh0f6otxWtY,,,13,0,79
80,2016-08-26 00:00:00,"Lock'n, Arrington, VA",https://archive.org/details/jrad2016-08-26.cmc621.sbd.matrix.flac16,,,,https://www.youtube.com/watch?v=SIQiZ4s6fU4,"Harder They Come? Bathtub Gin Tease, Ruben & Cherise, UJB",Nicole Atkins,12,0,80
81,2016-10-06 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2016-10-06.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT74,,,,19,0,81
82,2016-10-07 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2016-10-07.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT73 RT 76,,,"John Mayer
(set 2,E)",20,0,82
83,2016-10-08 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2016-10-08.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT 78,JRAD 2016-10-08 Encore: He Was a Friend of Mine(Dylan)(acoustic)-Not Fade Away,,"Chris Hartford 
(Hippie Dream)",18,0,83
84,2016-11-11 00:00:00,"House of Blues, San Diego",,jrad2016-11-11mk4.miller.16bit.torrent,,RT 80,https://www.youtube.com/watch?v=OBCjMziXKVM,,,14,0,84
85,2016-11-12 00:00:00,"Fox Theatre, Oakland, Ca",https://archive.org/details/jrad2016-11-12.cmc621.sbd.matrix.flac16,,,RT98,,,Bob Weir (Acoustic Set),20,0,85
86,2016-11-26 00:00:00,"The Fillmore Philadelphia, PA",https://archive.org/details/jrad2016-11-26.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT99,,,Jon Shaw on Bass,19,0,86
87,2016-12-02 00:00:00,"House of Blues, Boston MA",https://archive.org/details/jrad2016-12-02.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT 86,,,,22,0,87
88,2016-12-04 00:00:00,"Dominican Holidaze Breathless& New Onyx Resorts Punta Cana, Dominican Republic",https://archive.org/details/jrad2016-12-04.cmc621.sbd.matrix.flac16,,,,,Night Train( J Forrest cover)>Vampire Blues. King Solomon's Marbles>Jam New Speed Way Boogie ( Unfinished)> Music Never Stopped ( Unfinished) Uncle John's band,,17,0,88
89,2016-12-15 00:00:00,"Ogden Theater, Denver CO",https://archive.org/details/jrad2016-12-15.cmc621.sbd.matrix.flac16,,,RT84,,,,25,0,89
90,2016-12-16 00:00:00,"Boulder Theater, Boulder, CO",https://archive.org/details/jrad2016-12-16.cmc621.sbd.matrix.flac16,,,RT 85,,,,24,0,90
91,2016-12-17 00:00:00,"Belly Up, Aspen,CO",https://archive.org/details/jrad2016-12-17.cmc621.sbd.matrix.flac16,,,,,,,20,0,91
92,2016-12-28 00:00:00,Threes Brewing Brooklyn NY,https://archive.org/details/jrad2016-12-28.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,"Entire Show Was Acoustic
",20,0,92
93,2016-12-29 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2016-12-29.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,,27,0,93
94,2016-12-30 00:00:00,"The Capitol Theatre, Port Chester, NY",https://archive.org/details/jrad2016-12-30.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT 82 RT83 RT93 RT 96,,,"With Alecia Chakour Vocals, Cochemea Gastelum om Bari Sax",26,0,94
95,2016-12-31 00:00:00,"The Capitol Theatre, Port Chester, NY",https://archive.org/details/jrad2016-12-31.cmc621.cmc65xt.sbd.matrix.flac16,,,,,,"Nicole Atkins Vocals, Horn section ( see note for details)",25,0,95
96,2017-01-12 00:00:00,"Ryman Auditorium
Nashville, TN",https://archive.org/details/jrad2017-01-12.cmc621.cmc64.sbd.matrix.flac16/,,,,,,Nicole Atkins Vocals(see notes for details),16,0,96
97,2017-01-13 00:00:00,"Music Farm, Charleston, SC",https://archive.org/details/jrad2017-01-13.cmc621.cmc64.sbd.matrix.flac16,,,,,,,25,0,97
98,2017-01-14 00:00:00,"Sunshine Music Festival, Mizner Park Amphitheater, Boca Raton,, FL",https://archive.org/details/jrad2017-01-14.cmc621.sbd.matrix.flac16,,,,,,Alecia Chakour Vocals (See Notes),10,0,98
99,2017-01-15 00:00:00,"Sunshine Music Festival, Mizner Park Amphitheater, Boca Raton,, FL",https://archive.org/details/jrad2017-01-15.cmc621.sbd.matrix.flac16,,,,,,Alecia Chakour Vocals (See Notes),12,0,99
100,2017-03-09 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-03-09.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT 88,,,,17,0,100
101,2017-03-10 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-03-10.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,,22,0,101
102,2017-03-11 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-03-11.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT 87,,,,22,0,102
103,2017-03-16 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-03-16.cmc621.cmc641vxt.sbd.matrix.flac16,,,RT89,,,See Note Oteil Bass,18,0,103
104,2017-03-17 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-03-17.cmc621.cmc64.sbd.matrix.flac16,,,,,,See Note Oteil Bass,22,0,104
105,2017-03-18 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-03-18.cmc621.sbd.matrix.flac16,,,"
RT90 RT 94",,"Public Sound CheckSuch A Night  (MB)
Ophelia  (SM)
The Night They Drove Old Dixie Down  (TH)",See Note Oteil Bass,24,0,105
106,2017-03-31 00:00:00,"Fool's Paradise St. Augustine Amphitheatre  St. Augustine, FL",,,,,,,"Oteil sat in on bass on Dancin', BEW, IKTR, see notes",9,0,106
107,2017-04-28 00:00:00,"Ogden Theater, Denver CO",https://archive.org/details/jrad2017-04-28.cmc621.cmc64.sbd.matrix.flac16,,,,,,"S. Bogie Sax,Clarinet",21,0,107
108,2017-04-29 00:00:00,"1st Bank Center, Broomfield, CO",https://archive.org/details/jrad2017-04-29.cmc621.cmc64.sbd.matrix.flac16,,,RT95 RT97 RT 100 RT102,,,"Adam Morford. JM,BM See Note",27,0,108
109,2017-05-05 00:00:00,"Joy Theater, New Orleans, LA",https://archive.org/details/jrad2017-05-05.cmc621.cmc64.sbd.matrix.flac16,,,,,,Katie Jacoby on Violin- see notes,18,0,109
110,2017-05-06 00:00:00,"Joy Theater, New Orleans, LA",https://archive.org/details/jrad2017-05-06.cmc621.cmc64.sbd.matrix.flac16,,,,,,,14,0,110
111,2017-05-07 00:00:00,"Joy Theater, New Orleans, LA",https://archive.org/details/jrad2017-05-07.cmc621.cmc64.sbd.matrix.flac16,,,RT91 RT 92,,,,16,0,111
112,2017-06-03 00:00:00,"2017 Candler Park Music + Food Festival, Atlanta, GA",https://archive.org/details/jrad2017-06-03.cmc621.sbd.matrix.flac16,,,,,,Jon Shaw on Bass,18,0,112
113,2017-07-16 00:00:00,"Green River Festival, Greenfield, MA",,,,,,,Jon Shaw on Bass Jeff Chimenti on Keys,15,0,113
114,2017-07-21 00:00:00,"Capitol Theatre,Port Chester, NY",https://archive.org/details/jrad2017-07-21.cmc621.cmc641vxt.sbd.matrix.flac16,,,"
RT103",,,,23,0,114
115,2017-07-22 00:00:00,"Capitol Theatre,Port Chester, NY",https://archive.org/details/jrad2017-07-22.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,,16,0,115
116,2017-08-10 00:00:00,"Peach Music Festival, Scranton, PA",,,,,,,,16,0,116
117,2017-08-25 00:00:00,"Lock'n, Arrington, VA",,,,,,China Cat> Touch of Grey played while TFB on main stage,Nicole Atkins and Jim James Guest Vocals,14,0,117
118,2017-08-26 00:00:00,"Lock'n, Arrington, VA",https://archive.org/details/jrad2017-08-26.cmc621.cmc64.sbd.matrix.flac16,,,,,,Bob Weir: Lead Guitar and Vocals,13,0,118
119,2017-08-31 00:00:00,"Red Rocks, Morrison, CO",https://archive.org/details/jrad2017-08-31.cmc621.cmc64.sbd.matrix.flac16,,,,,,"
Entire show with Oteil Burbridge (OB) on bass & vocals

",26,0,119
120,2017-09-02 00:00:00,"North Coast Music Festival, Union Park, Chicago, IL",,,,,,,,9,0,120
121,2017-10-05 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-10-05.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,,19,0,121
122,2017-10-06 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-10-06.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,,17,0,122
123,2017-10-07 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-10-07.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,"Stuart Bogie:Tenor Sax, Flute, Clarinet",14,0,123
124,2017-10-12 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-10-12.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,Katie Jacoby on Violin,20,0,124
125,2017-10-13 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-10-13.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,John Mayer on Guitar,22,0,125
126,2017-10-14 00:00:00,"Brooklyn Bowl Brooklyn, NY",https://archive.org/details/jrad2017-10-14.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,,18,0,126
127,2017-10-26 00:00:00,"Suwannee Hulaween Pre- Party, Live Oak, FL",,,,,,,Jon Shaw on Bass,16,0,127
128,2017-11-09 00:00:00,"Teragram Ballroom, Los Angeles, CA",https://archive.org/details/jrad2017-11-09.cmc621.cmc64.sbd.matrix.flac16,,,,,,Jonathan Wilson Guitar and Vocals Eric D. Johnson Keyboards and Vocals,18,0,128
129,2017-11-10 00:00:00,"Teragram Ballroom, Los Angeles, CA",https://archive.org/details/jrad2017-11-10.cmc621.cmc64.sbd.matrix.flac16,,,,,,,16,0,129
130,2017-11-11 00:00:00,"Fox Theatre, Oakland, Ca",https://archive.org/details/jrad2017-11-11.cmc621.cmc64.sbd.matrix.flac16,,,,,,,20,0,130
131,2017-11-24 00:00:00,"The Filmore, Philadelphia, PA",https://archive.org/details/jrad2017-11-24.cmc621.cmc64.sbd.matrix.flac16,,,,,,,19,0,131
132,2017-11-25 00:00:00,"The Filmore, Philadelphia, PA",https://archive.org/details/jrad2017-11-25.cmc621.cmc64.sbd.matrix.flac16,,,,,,,20,0,132
133,2017-12-04 00:00:00,"Dominican Holidaze Breathless& New Onyx Resorts Punta Cana, Dominican Republic",,,,,,See Note SDCK,,20,0,133
134,2017-12-08 00:00:00,"House of Blues, Boston MA",https://archive.org/details/jrad2017-12-08.cmc621.cmc641vxt.cmc622.sbd.matrix.flac16,,,,,,TH played WOLF ,20,0,134
135,2017-12-09 00:00:00,"House of Blues, Boston MA",https://archive.org/details/jrad2017-12-09.cmc621.cmc641vxt.cmc622.sbd.matrix.flac16,,,,,,,20,0,135
136,2018-01-12 00:00:00,"Capitol Theatre,Port Chester, NY",https://archive.org/details/jrad2018-01-12.cmc621.cmc641vxt.sbd.matrix.flac16,,,,,,,21,0,136
