,Date,Venue,JRAD or Event SBD/MTX,Audience Taper,Audience Audio,RAD Track (RTn) or Event Video,Audience Video (Substantial),VIP Soundcheck ,Personnel changes,Number of Items,Number of Breakouts,Show Number
172,2018-11-09 00:00:00,The Wiltern Los Angles CA,,,,,,,Entire Second Set with John Mayer on Guitar & Vocals,16,0,172
173,2018-11-10 00:00:00,Fox Theatre Oakland Ca,,,,,,,,16,0,173
174,2018-11-11 00:00:00,Fox Theatre Oakland Ca,https://archive.org/details/jrad2018-11-11.cmc621.cmc64.sbd.matrix.flac16,,,,,,,14,0,174
175,2019-01-18 00:00:00,"Capitol Theatre,Port Chester, NY",,,,,,,Tyrone Cotton :Encores,18,0,175
176,2019-01-19 00:00:00,"Capitol Theatre, Port Chester,NY",https://archive.org/details/jrad2019-01-19.cmc621.cmc65xt.sbd.matrix.flac16,,,,,,Jonathan Goldberger on Guitar; Red Baraat,22,0,176
177,2019-01-20 00:00:00,"Capitol Theatre,Port Chester, NY",https://archive.org/details/jrad2019-01-20.cmc621.cmc65xt.sbd.matrix.flac16,,,,,,Chris Harford Guitar/Vocals,23,0,177
178,2019-02-14 00:00:00,"The Tabernacle
Atlanta, GA",,,,,,,,14,0,178
179,2019-02-15 00:00:00,"The Pageant
St. Louis, MO",,,,,,,,14,0,179
180,2019-02-16 00:00:00,"The Pageant
St. Louis, MO",https://archive.org/details/jrad2019-02-16.cmc621.cmc64.sbd.matrix.flac16,,,Return of Rad Tracks,,,,18,0,180
181,2019-02-17 00:00:00,"The Sylvee
Madison, WI",,,,,,,,16,0,181
182,2019-03-01 00:00:00,"Palace Theatre
Albany, NY",,,,,,,,18,0,182
183,2019-03-02 00:00:00,"State Theatre
Portland,ME",https://archive.org/details/jrad2019-03-02.cmc621.cmc64.sbd.matrix.flac16,,,,,,,19,0,183
184,2019-03-03 00:00:00,"State Theatre
Portland,ME",,,,,,,,18,0,184
185,2019-03-13 00:00:00,"Penn's Peak
Jim Thorpe, PA",,,,,,,,19,0,185
186,2019-03-14 00:00:00,"College Street Music Hall
New Haven, CT",,,,,,,,18,0,186
187,2019-03-15 00:00:00,"Wellmont Theater
Montclair, NJ",,,,,,,Stuart Bogie ,17,0,187
188,2019-03-16 00:00:00,"Masonic Auditorium
Cleveland, OH",,,,,,,,17,0,188
189,2019-04-19 00:00:00,"SweetWater 420 Fest, Atlanta, GA",,,,,,,,11,0,189
190,2019-04-26 00:00:00,"Mardi Gras World BallroomNew Orleans, LA",,,,,,,With Jeff Chimenti on Piano See Notes,15,0,190
191,2019-04-27 00:00:00,"Mardi Gras World BallroomNew Orleans, LA",https://archive.org/details/jrad2019-04-27.cmc621.cmc64.sbd.matrix.flac16,,,,,,,15,0,191
192,2019-05-31 00:00:00,"The Cuthbert Amphitheater
Eugene, OR",,,,,,,,21,0,192
193,2019-06-01 00:00:00,"Marymoor Amphitheater
Redmond, WA",,,,,,,,17,0,193
194,2019-06-02 00:00:00,"Kettle House Amphitheater
Bonner-west Riverside, MT",,,,,,,,,0,194
195,2019-06-14 00:00:00,"Mountain Jam, Bethel Woods Center for the Arts,Bethel, NY",,,,,,,,,0,195
196,2019-06-15 00:00:00,"Bonnaroo Music and Arts FestivalMcArthur St, Manchester, TN",,,,,,,,,0,196
197,2019-07-11 00:00:00,"Huntington Bank Pavilion at Northerly Island
Chicago, IL",,,,,,,,,0,197
198,2019-07-13 00:00:00,"Levitate Music Festival, Marshfield, MA",,,,,,,,,0,198
199,2019-07-27 00:00:00,"Peach Music Festival
Scranton, PA",,,,,,,,,0,199
200,2019-07-28 00:00:00,"Lake Champlain Maritime Festival
Waterfront Park, Burlington, VT",,,,,,,,,0,200
201,2019-08-16 00:00:00,"Greek Theatre
Los Angeles, CA",,,,,,,,,0,201
202,2019-08-29 00:00:00,"Red Rocks Amphitheatre
Morrison, CO",,,,,,,,,0,202
203,2019-09-12 00:00:00,"House of Blues Dallas
Dallas, TX",,,,,,,,,0,203
204,2019-09-13 00:00:00,"House of Blues Houston
Houston, TX",,,,,,,,,0,204
205,2019-09-14 00:00:00,"ACL Live at The Moody Theater
Austin, TX",,,,,,,,,0,205
206,2019-09-26 00:00:00,"Philadelphia Metropolitan Opera House
Philadelphia, PA",,,,,,,,,0,206
207,2019-09-27 00:00:00,"Philadelphia Metropolitan Opera House
Philadelphia, PA",,,,,,,,,0,207
208,2019-09-28 00:00:00,"The Anthem
Washington, DC",,,,,,,,,0,208
209,Unnamed: 217,,,,,,,,,,0.0,209.0
210,Unnamed: 218,,,,,,,,,,0.0,210.0
211,Unnamed: 219,,,,,,,,,,0.0,211.0
